"PLAYER" "TEAM" "POS" "GP" "G" "A" "P" "P.GP" "X..." "Sh" "Sh." "TOI" "EXP..YEAR" "CAP.HIT"
"Jonas Røndbjerg" "VGK" "LW, RW" 20 1 2 3 0.15 "2" "25" "0.04" "11:16" 2025 766667
"Beck Malenstyn" "WSH" "C, LW" 81 6 15 21 0.26 "-1" "98" "0.06" "14:14" 2024 762500
"AJ Greer" "CGY" "RW, LW" 59 6 6 12 0.2 "-7" "57" "0.11" "08:49" 2024 762500
"Parker Kelly" "OTT" "LW" 80 8 10 18 0.23 "-8" "86" "0.09" "11:42" 2024 762500
"Stefan Noesen" "CAR" "LW, RW" 81 14 23 37 0.46 "13" "111" "0.13" "11:51" 2024 762500
"Michael Amadio" "VGK" "RW, LW" 73 14 13 27 0.37 "4" "117" "0.12" "13:23" 2024 762500
"Liam Foudy" "NSH" "LW, C" 13 0 3 3 0.23 "-2" "7" "0" "09:58" 2024 762500
"Austin Czarnik" "DET" "C, RW" 34 0 1 1 0.03 "-3" "24" "0" "08:26" 2024 762500
"Jack Studnicka" "SJS" "RW, C" 22 1 0 1 0.05 "-12" "20" "0.05" "11:27" 2024 762500
"Brendan Gaunce" "CBJ" "LW, C" 24 2 2 4 0.17 "-7" "24" "0.08" "11:44" 2024 762500
"Byron Froese" "VGK" "C" 16 0 1 1 0.06 "-2" "17" "0" "10:40" 2024 762500
"Jonny Brodzinski" "NYR" "C" 57 6 13 19 0.33 "-3" "89" "0.07" "11:07" 2024 762500
"Bobby McMann" "TOR" "RW, LW" 56 15 9 24 0.43 "13" "118" "0.13" "11:33" 2024 762500
"Adam Ruzicka" "-" "LW, C" 42 3 6 9 0.21 "-9" "35" "0.09" "10:01" 2024 762500
"Alex Barré-Boulet" "TBL" "RW, LW" 36 6 3 9 0.25 "-9" "46" "0.13" "11:11" 2024 758333
"Taylor Raddysh" "CHI" "RW" 73 5 9 14 0.19 "-19" "120" "0.04" "15:52" 2024 758333
"Boris Katchouk" "OTT" "LW" 59 7 6 13 0.22 "-6" "70" "0.1" "11:28" 2024 758333
